network,plan_cost,data_per_day,additional_data,validity
airtel,19,0,1,1
airtel,29,0,2,1
airtel,58,0,3,0
airtel,65,0,4,0
airtel,98,0,5,0
airtel,118,0,12,0
airtel,148,0,15,0
airtel,149,0,1,0
airtel,181,1,0,30
airtel,301,0,50,0
jio,15,0,1,0
jio,25,0,2,0
jio,61,0,6,0
jio,121,0,12,0
jio,181,0,30,30
jio,222,0,50,0
jio,241,0,40,30
jio,301,0,50,30
jio,444,0,100,60
jio,555,0,55,55
jio,667,0,150,90
jio,2878,2,0,365
jio,2998,2.5,0,365
vi,19,0,1,1
vi,25,0,1.1,1
vi,29,0,2,2
vi,39,0,3,7
vi,55,0,3.3,7
vi,58,0,3,28
vi,75,0,6,7
vi,82,0,4,14
vi,108,0,6,15
vi,118,0,12,28
vi,151,0,8,30
vi,181,1,0,30
vi,298,0,50,28
vi,418,0,100,56
vi,698,0,10,28
vi,999,0,50,365
